name,price,type,efficiency,wattage,modular,color,brand
NZXT C1200,5199.8,ATX,gold,1200,Full,Black,NZXT
Lian Li EDGE GOLD,10787.4,ATX,gold,1200,Full,White,Lian Li
MSI MAG A850GL PCIE5 II,2599.8,ATX,gold,850,Full,Black,MSI
Cooler Master V850 SFX GOLD,3399.8,SFX,gold,850,Full,White,Cooler Master
be quiet! SFX L Power,4068.39,SFX,gold,600,Full,Black,be quiet!
Lian Li EDGE GOLD,10681.0,ATX,gold,1200,Full,Black,Lian Li
SeaSonic Focus GX V4 ATX 3 (2024),4159.8,ATX,gold,1000,Full,White,Seasonic
Silverstone FX500-G,3141.6,Flex ATX,gold,500,false,Black,SilverStone
Vetroo GV1000,2599.8,ATX,gold,1000,Full,White,Vetroo
Asus ROG Strix,3399.8,ATX,gold,850,Full,White,ASUS
EVGA SuperNOVA 1300 G+,4799.8,ATX,gold,1300,Full,Black,EVGA
Montech APX,1099.8,ATX,plus,550,false,Black,Montech
Silverstone SFX,4652.6,SFX,titanium,800,Full,Black,SilverStone
be quiet! Straight Power 12,3398.0,ATX,platinum,850,Full,Black,be quiet!
be quiet! Pure Power 13 M,3198.0,ATX,gold,1000,Full,Black,be quiet!
Asus ROG LOKI,3799.8,SFX,platinum,750,Full,Black / Silver,ASUS
Gigabyte UD1000GM PG5 (rev. 2.0),2959.4,ATX,gold,1000,Full,Black,Gigabyte
be quiet! Pure Power 12,3276.2,ATX,gold,650,false,Black,be quiet!
NZXT C1500,7399.8,ATX,platinum,1500,Full,Black,NZXT
SeaSonic VERTEX PX-1000,5399.8,ATX,platinum,1000,Full,Black / Silver,Seasonic
"FSP Group Hydro Ti PRO,Gen 5",5399.8,ATX,titanium,1000,Full,Black,FSP
Thermaltake Toughpower GF3 Snow,3719.8,ATX,gold,1200,Full,White,Thermaltake
Thermaltake Smart BM3,1999.8,ATX,bronze,850,Semi,Black,Thermaltake
Asus ROG LOKI,4399.8,SFX,platinum,850,Full,Black / Silver,ASUS
Asus ROG Strix,2450.0,ATX,gold,750,Full,Black / Red,ASUS
SeaSonic S12III,1760.0,ATX,bronze,650,false,Black,Seasonic
SeaSonic Focus GX V4 ATX 3 (2024),3379.8,ATX,gold,850,Full,White,Seasonic
Vetroo GV1000,2599.8,ATX,gold,1000,Full,Black,Vetroo
Asus ROG-STRIX-850G,3592.0,ATX,gold,850,Full,Black,ASUS
be quiet! Dark Power 13,4222.79,ATX,titanium,750,Full,Black,be quiet!
Cooler Master V Platinum V2,6199.8,ATX,platinum,1600,Full,Black / Purple,Cooler Master
Thermaltake Smart BX1 650,1268.59,ATX,bronze,650,false,Black,Thermaltake
SeaSonic CORE GX ATX 3 (2024),2238.19,ATX,gold,850,Full,Black,Seasonic
SAMA GT,1499.8,ATX,gold,750,Full,Black,SAMA
Thermaltake Toughpower SFX,3899.8,SFX,platinum,1000,Full,Black,Thermaltake
FSP Group Dagger Pro,2748.6,SFX,gold,650,Full,Black,FSP
