name,price,speed,color,cas_latency,module_count,module_capacity_gb,brand
G.Skill Trident Z5 Neo RGB 96 GB,8299.79,"5,6000",Black,28.0,2,48,G.Skill
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6000",White,38.0,2,16,TeamGroup
Crucial Pro Overclocking 64 GB,3999.8,"5,6400",Black,40.0,2,32,Crucial
G.Skill Trident Z5 Neo RGB 64 GB,5099.8,"5,6000",Black,28.0,2,32,G.Skill
Corsair Vengeance RGB Pro 32 GB,1659.8,"4,3200",Black,16.0,2,16,Corsair
Corsair Vengeance 96 GB,6499.8,"5,6000",Black / Silver,30.0,2,48,Corsair
Corsair Vengeance LPX 8 GB,739.8,"4,2400",Black / Yellow,16.0,1,8,Corsair
Silicon Power XPOWER Zenith Gaming 64 GB,3299.8,"5,6000",Black,30.0,2,32,Silicon Power
Lexar Ares RGB 32 GB,2299.79,"5,6000",Black,30.0,2,16,Lexar
Crucial CT2K8G4DFRA32A 16 GB,1130.8,"4,3200",Green,22.0,2,8,Crucial
Corsair Dominator Titanium 32 GB,3599.8,"5,6000",Black,30.0,2,16,Corsair
Crucial CT8G4DFS824A 8 GB,399.6,"4,2400",Green,17.0,1,8,Crucial
Timetec PINNACLE Konduit 32 GB,1199.8,"4,3200",White,16.0,2,16,Timetec
Kingston FURY Beast RGB 64 GB,4899.8,"5,6000",Black,30.0,2,32,Kingston
Corsair Vengeance RGB 64 GB,4359.8,"5,6000",Black,30.0,2,32,Corsair
Corsair Vengeance 192 GB,12299.8,"5,5200",Black,38.0,4,48,Corsair
G.Skill Trident Z5 RGB 64 GB,5099.8,"5,6800",Black,34.0,2,32,G.Skill
TEAMGROUP T-Force Vulcan 32 GB,1659.8,"5,6000",Black,38.0,2,16,TeamGroup
G.Skill Trident Z5 Neo 32 GB,2339.79,"5,6000",Black,30.0,2,16,G.Skill
G.Skill Aegis 16 GB,899.8,"4,3200",Red / Black,16.0,2,8,G.Skill
PNY XLR8 32 GB,1199.8,"4,3600",Black,18.0,2,16,PNY
TEAMGROUP Elite 16 GB,579.79,"4,2666",Black,19.0,2,8,TeamGroup
Silicon Power XPOWER Zenith RGB Gaming 32 GB,1999.8,"5,6000",Black,30.0,2,16,Silicon Power
G.Skill Ripjaws S5 32 GB,1799.8,"5,6000",Black,36.0,2,16,G.Skill
OLOy ND4U1632161DJ0DA 32 GB,1399.8,"4,3200",Black,16.0,2,16,OLOy
Corsair Vengeance RGB Pro 32 GB,2859.8,"4,3200",White,16.0,2,16,Corsair
ADATA XPG Lancer Blade 32 GB,3044.2,"5,6000",Black,30.0,2,16,ADATA
G.Skill Ripjaws V 32 GB,1479.6,"4,3600",Black,18.0,2,16,G.Skill
Crucial Pro 64 GB,3426.8,"5,6000",Black,40.0,2,32,Crucial
Silicon Power XPOWER Turbine 16 GB,679.4,"4,3200",Blue,16.0,2,8,Silicon Power
G.Skill Trident Z5 Royal Neo RGB 64 GB,5199.8,"5,6000",Silver,30.0,2,32,G.Skill
Crucial CT16G48C40U5 16 GB,777.2,"5,4800",Black,40.0,1,16,Crucial
Patriot Viper Steel 64 GB,3299.8,"4,3600",Silver / Black,18.0,2,32,Patriot
G.Skill Trident Z5 Neo RGB 32 GB,2699.8,"5,6400",Black,30.0,2,16,G.Skill
Klevv FIT V 32 GB,1699.8,"5,6000",White,32.0,2,16,Klevv
TEAMGROUP T-Create Expert 32 GB,1459.8,"5,6000",White,38.0,2,16,TeamGroup
Kingston FURY Beast RGB 16 GB,1519.6,"5,6000",Black,36.0,2,8,Kingston
Corsair Vengeance 32 GB,2299.79,"5,6400",Black,32.0,2,16,Corsair
Corsair Vengeance RGB 96 GB,6999.8,"5,6000",Black / Silver,30.0,2,48,Corsair
Corsair Vengeance RGB 32 GB,3899.8,"5,8000",Black / Gray,36.0,2,16,Corsair
Corsair Vengeance LPX 32 GB,3219.8,"4,3600",Black / Yellow,18.0,2,16,Corsair
Patriot Viper Xtreme 5 32 GB,2699.8,"5,8200",Black,38.0,2,16,Patriot
TEAMGROUP T-Force Delta RGB 32 GB,2733.8,"4,3600",Black,18.0,2,16,TeamGroup
G.Skill Ripjaws V 16 GB,919.8,"4,3600",Black,18.0,2,8,G.Skill
G.Skill Trident Z Neo 32 GB,1999.8,"4,3600",Black / Silver,16.0,2,16,G.Skill
