name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
MSI GF615M-P33,,AM3,Micro ATX,8,2,Black / Blue,False,MSI
MSI PRO Z690-P WIFI,,LGA1700,ATX,192,4,Black,False,MSI
ASRock B550 Phantom Gaming 4,1999.8,AM4,ATX,128,4,Silver / Black,True,ASRock
MSI MEG X870E GODLIKE,19999.8,AM5,EATX,256,4,Black,True,MSI
ASRock X870 Steel Legend WiFi,5199.8,AM5,ATX,256,4,White,True,ASRock
Biostar H170GT3,,LGA1151,Micro ATX,64,4,Black / Gray,False,Biostar
Asus Z890 AYW GAMING WIFI W,4399.8,LGA1851,ATX,192,4,White,True,ASUS
MAXSUN H610M 666 WIFI6 ARGB,,LGA1700,Micro ATX,64,2,Black / Blue,False,MAXSUN
ASRock Z77 Extreme9,,LGA1155,ATX,32,4,Black / Silver,False,ASRock
Jetway JNC94FL-525-LF,,Integrated Atom D525,Mini ITX,8,2,,False,Jetway
Asus M4A88T-M LE,,AM3,Micro ATX,8,2,Black / Blue,False,ASUS
Supermicro X10SAT-O,,LGA1150,ATX,32,4,Black / Blue,False,Supermicro
Asus ROG MAXIMUS Z890 EXTREME,16980.0,LGA1851,EATX,192,4,Black,True,ASUS
Asus PRIME B760M-R D4,,LGA1700,Micro ATX,64,2,Black,False,ASUS
ASRock N68-S UCC,,AM3/AM2+/AM2,Micro ATX,8,2,Black / Blue,False,ASRock
Asus P8P67 PRO,,LGA1155,ATX,32,4,Black / Blue,False,ASUS
Colorful CVN Z790D5 GAMING FROZEN V20,,LGA1700,ATX,192,4,Silver / Copper,False,Colorful
Asus PRIME B550M-A,2925.4,AM4,Micro ATX,128,4,Black / White,True,ASUS
ASRock H61MV-ITX,,LGA1155,Mini ITX,16,2,Black / Blue,False,ASRock
ECS A58F2P-M4(1.0),,FM2+,Micro ATX,32,2,Black / Gray,False,ECS
Asus ROG Crosshair VIII Hero,,AM4,ATX,128,4,Black,False,ASUS
Gigabyte B660 GAMING X AX DDR4,,LGA1700,ATX,128,4,Black,False,Gigabyte
Asus E35M1-I,,Integrated E-Series E-350,Mini ITX,8,2,Black / Blue,False,ASUS
Jetway JNC9C-550-LF,,Integrated Atom N550,Mini ITX,2,2,,False,Jetway
Biostar H110MH PRO D4,,LGA1151,Micro ATX,32,2,Black / Yellow,False,Biostar
Supermicro X11SAE-M,,LGA1151,Micro ATX,64,4,Green,False,Supermicro
ASRock B860M Pro RS WiFi,,LGA1851,Micro ATX,256,4,Silver / Black,False,ASRock
Gigabyte TRX40 DESIGNARE,28980.0,sTRX4,XL ATX,256,8,Black / Silver,True,Gigabyte
Supermicro A1SRI-2758F-O,9580.0,Integrated Atom C2358,Mini ITX,64,4,Black / Green,True,Supermicro
Asus A88X-PRO,,FM2+,ATX,64,4,Black / Gold,False,ASUS
Gigabyte B850 GAMING WIFI6,3599.8,AM5,ATX,256,4,Black / Gray,True,Gigabyte
MSI Big Bang - XPower II,,LGA2011,XL ATX,128,8,Black,False,MSI
Asus Z87-Expert,,LGA1150,ATX,32,4,,False,ASUS
Asus B760M-AYW WIFI D4 II,1999.8,LGA1700,Micro ATX,64,2,Black / Silver,True,ASUS
MSI MPG B560I GAMING EDGE WIFI,,LGA1200,Mini ITX,64,2,Black,False,MSI
Intel D425KT,,Integrated Atom D425,Mini ITX,4,2,Green / Black,False,Intel
MSI B650M BOMBER WIFI,,AM5,Micro ATX,128,2,Black / Silver,False,MSI
Asus PRIME A620M-A-CSM,2599.8,AM5,Micro ATX,192,4,Silver / Black,True,ASUS
