name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
Jonsbo C6-ITX,1240.0,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,15.9,1,True,Jonsbo
DARKROCK EC2,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,37.5,2,False,DARKROCK
Cougar Duoface Pro RGB,,ATX Mid Tower,ATX,White,,False,Tempered Glass,55.4,2,False,Cougar
Asus ROG Strix Helios Gundam Edition,,ATX Full Tower,ATX,Silver / Multicolor,,False,Tempered Glass,83.5,2,False,ASUS
CiT DS240,,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,36.7,1,False,CiT
Cooler Master Centurion 5 II,,ATX Mid Tower,ATX,Black / White,,False,Acrylic,43.2,5,False,Cooler Master
Apevia X-Infinity,,ATX Mid Tower,ATX,Pink / Black,,False,Acrylic,42.7,5,False,Apevia
OCPC MINI2,,Mini ITX Test Bench,Mini ITX,White,,False,Solid,7.2,0,False,OCPC
Cooler Master CM 590 III,,ATX Mid Tower,ATX,White,,False,Acrylic,45.1,4,False,Cooler Master
Silverstone SG05-LITE,1501.0,Mini ITX Desktop,Mini ITX,Black,,False,Solid,10.7,1,True,SilverStone
Fractal Design Define 7 XL Light,,ATX Full Tower,ATX,Black,,False,Tempered Glass,82.0,6,False,Fractal Design
SHARKOON Rebel C50,9187.79,ATX Mid Tower,ATX,White,,False,Mesh,52.4,3,True,SHARKOON
Gigabyte AORUS C700,,ATX Full Tower,ATX,Black,,False,Tempered Glass,144.2,4,False,Gigabyte
Jonsbo A4 Ver1.1,,ATX Mini Tower,ATX,Silver,,False,Tempered Glass,15.7,1,False,Jonsbo
In Win X-Frame 2.0,,ATX Test Bench,ATX,White / Blue,,False,Solid,102.0,6,False,In Win
Corsair iCUE 5000X RGB,4099.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,66.2,2,True,Corsair
Cooltek CoolCube,,HTPC,Mini ITX,Black,,False,Solid,,1,False,Cooltek
Aerocool NightHawk Duo,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,False,Aerocool
Phanteks Enthoo EVOLV TG,,MicroATX Mini Tower,Micro ATX,Black,,False,Tinted Tempered Glass,41.7,2,False,Phanteks
Vetroo AL700,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,48.1,1,False,Vetroo
NZXT H200,,Mini ITX Tower,Mini ITX,Black,,False,Tempered Glass,27.3,1,False,NZXT
be quiet! Dark Base 900,,ATX Full Tower,ATX,Black,,False,Acrylic,82.0,7,False,be quiet!
Xigmatek Frontliner,,ATX Mid Tower,ATX,White,,False,Acrylic,45.1,2,False,Xigmatek
CHENBRO ES34069-BK-180,,Mini ITX Tower,Mini ITX,Black,180.0,True,Solid,9.4,0,False,Desconocida
Apevia X-Master,,HTPC,Mini ITX,Black,500.0,True,Solid,22.0,1,False,Apevia
Lazer3D LZX-8 Storm,,Mini ITX Desktop,Mini ITX,Black / White,,False,Solid,8.6,0,False,Desconocida
PrimoChill Praxis WetBench,4699.8,ATX Test Bench,ATX,Black,,False,Solid,,4,True,Desconocida
HAVN HS420,4599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,76.8,5,True,HAVN
Aerocool Tor Pro,,ATX Full Tower,ATX,Black,,False,Tempered Glass,66.8,2,False,Aerocool
Noua Thor S15,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,33.1,3,False,Noua
Foxconn DH-153C(H+A)+MT-300-4SS,,HTPC,Mini ITX,Black,300.0,True,Solid,13.0,1,False,Foxconn
Montech AIR 100 LITE,,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,36.1,2,False,Montech
Supermicro S5,,ATX Mid Tower,ATX,Black / Red,,False,Solid,,6,False,Supermicro
Jonsbo Jonsplus i100 Pro,,Mini ITX Desktop,Mini ITX,Black,,False,Tempered Glass,25.9,1,False,Jonsbo
Antec P280,,ATX Mid Tower,ATX,White,,False,Solid,68.0,6,False,Antec
Aerocool Strike-X One,,ATX Mid Tower,ATX,Black / Red,,False,Solid,,6,False,Aerocool
In Win IW-C589T.CQ350TBL,,ATX Mid Tower,ATX,Black,350.0,True,Solid,35.0,3,False,In Win
Thermaltake Core W200,10999.8,ATX Full Tower,ATX,Black,,False,Acrylic,,4,True,Thermaltake
Lian Li PC-V351,,MicroATX Desktop,Micro ATX,Black,,False,Solid,27.1,2,False,Lian Li
Apevia X-QPack,,MicroATX Desktop,Micro ATX,Black / Silver,420.0,True,Solid,22.7,2,False,Apevia
