name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available
Thermaltake The Tower 300,1999.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,53.0,3,True
Asus TUF Gaming GT502,3599.4,ATX Mid Tower,ATX,Black,,False,Tempered Glass,57.2,4,True
Thermaltake The Tower 600,3399.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,66.2,1,True
Jonsbo D32 STD,,MicroATX Desktop,Micro ATX,Black,,False,Tempered Glass,25.7,1,False
Corsair iCUE LINK 3500X RGB,3199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,55.9,2,True
Corsair 3000D RGB AIRFLOW,2499.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,49.5,2,True
Cooler Master N400,1299.8,ATX Mid Tower,ATX,Black,,False,Solid,40.2,7,True
Asus Prime AP201,1679.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,33.0,3,True
Lian Li LANCOOL 216 RGB,2119.4,ATX Mid Tower,ATX,White,,False,Tempered Glass,55.6,2,True
NZXT H9 Flow (2025),3199.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,76.7,2,True
Fractal Design Define 7 XL,4499.8,ATX Full Tower,ATX,Black,,False,Solid,82.0,6,True
be quiet! Pure Base 501 Airflow,2139.79,ATX Mid Tower,ATX,Black,,False,Solid,48.1,2,True
Cooler Master N200,1199.8,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,33.8,2,True
Fractal Design Pop Air,1699.8,ATX Mid Tower,ATX,Black,,False,Solid,46.2,2,True
BGears b-Vortex-RGB,979.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,38.3,2,True
Lian Li LANCOOL 205M MESH,1799.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,33.8,2,True
Jonsbo N4,2399.79,MicroATX Desktop,Micro ATX,Black / Brown,,False,Mesh,19.6,6,True
be quiet! Light Base 600 LX,3598.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,59.7,1,True
BGears b-Pellucid,1099.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tinted Tempered Glass,36.6,1,True
Vetroo AL900,1699.8,ATX Mid Tower,ATX,Pink,,False,Tempered Glass,48.1,0,True
Deepcool MATREXX 30,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,29.6,3,False
Lian Li O11 Dynamic EVO,,ATX Mid Tower,ATX,White / Gray,,False,Tempered Glass,60.8,6,False
Aerocool P500C,,ATX Mid Tower,ATX,Black,,False,Mesh,54.0,2,False
Phanteks XT PRO ULTRA,1639.6,ATX Mid Tower,ATX,White,,False,Tempered Glass,51.8,2,True
