name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Viper Venom 16 GB,1059.8,"5,5200","2,8",3.312,Black / White,13.846,36.0
G.Skill Trident Z5 Royal 64 GB,5199.8,"5,6400","2,32",4.062,Silver,10.0,32.0
Crucial Pro 64 GB,2519.79,"4,3200","2,32",1.969,Black / Green,13.75,22.0
Corsair Dominator Titanium 96 GB,8399.79,"5,6600","2,48",4.375,White,9.697,32.0
ADATA XPG Lancer Blade RGB 32 GB,2699.8,"5,6000","2,16",4.218,Black,10.0,30.0
Corsair Vengeance RGB 128 GB,7799.8,"5,6400","2,64",,Black,13.125,42.0
Corsair Vengeance RGB 32 GB,2899.8,"5,6000","2,16",4.531,White / Silver,10.0,30.0
Patriot Signature Line 32 GB,1439.6,"5,4800","2,16",2.249,Black,16.667,40.0
Crucial CT2K16G48C40U5 32 GB,1479.6,"5,4800","2,16",2.312,Black,16.667,40.0
G.Skill Trident Z5 Neo RGB 96 GB,8299.79,"5,6000","2,48",4.323,Black,9.333,28.0
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6000","2,16",2.812,White,12.667,38.0
Crucial Pro Overclocking 64 GB,3999.8,"5,6400","2,32",3.125,Black,12.5,40.0
G.Skill Trident Z5 Neo RGB 64 GB,5099.8,"5,6000","2,32",3.984,Black,9.333,28.0
Corsair Vengeance RGB Pro 32 GB,1659.8,"4,3200","2,16",2.593,Black,10.0,16.0
G.Skill Flare X5 16 GB,,"5,6000","1,16",,Black,12.0,36.0
Corsair Vengeance 96 GB,6499.8,"5,6000","2,48",3.385,Black / Silver,10.0,30.0
Corsair Vengeance LPX 8 GB,739.8,"4,2400","1,8",4.624,Black / Yellow,13.333,16.0
Silicon Power XPOWER Zenith Gaming 64 GB,3299.8,"5,6000","2,32",2.578,Black,10.0,30.0
Lexar Ares RGB 32 GB,2299.79,"5,6000","2,16",3.593,Black,10.0,30.0
Crucial CT2K8G4DFRA32A 16 GB,1130.8,"4,3200","2,8",3.534,Green,13.75,22.0
Corsair Dominator Titanium 32 GB,3599.8,"5,6000","2,16",5.625,Black,10.0,30.0
Crucial CT8G4DFS824A 8 GB,399.6,"4,2400","1,8",2.498,Green,14.167,17.0
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10.0,16.0
Timetec PINNACLE Konduit 32 GB,1199.8,"4,3200","2,16",1.875,White,10.0,16.0
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,Black,10.0,18.0
Kingston FURY Beast RGB 64 GB,4899.8,"5,6000","2,32",3.828,Black,10.0,30.0
Corsair Vengeance RGB 64 GB,4359.8,"5,6000","2,32",3.406,Black,10.0,30.0
Corsair Vengeance 192 GB,12299.8,"5,5200","4,48",3.203,Black,14.615,38.0
G.Skill Trident Z5 RGB 64 GB,5099.8,"5,6800","2,32",3.984,Black,10.0,34.0
TEAMGROUP T-Force Vulcan 32 GB,1659.8,"5,6000","2,16",2.593,Black,12.667,38.0
G.Skill Trident Z5 Neo 32 GB,2339.79,"5,6000","2,16",3.656,Black,10.0,30.0
G.Skill Aegis 16 GB,899.8,"4,3200","2,8",2.812,Red / Black,10.0,16.0
PNY XLR8 32 GB,1199.8,"4,3600","2,16",1.875,Black,10.0,18.0
TEAMGROUP Elite 16 GB,579.79,"4,2666","2,8",1.812,Black,14.254,19.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,1999.8,"5,6000","2,16",3.125,Black,10.0,30.0
G.Skill Ripjaws S5 32 GB,1799.8,"5,6000","2,16",2.812,Black,12.0,36.0
OLOy ND4U1632161DJ0DA 32 GB,1399.8,"4,3200","2,16",2.187,Black,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,2859.8,"4,3200","2,16",4.468,White,10.0,16.0
ADATA XPG Lancer Blade 32 GB,3044.2,"5,6000","2,16",4.757,Black,10.0,30.0
G.Skill Ripjaws V 32 GB,1479.6,"4,3600","2,16",2.312,Black,10.0,18.0
Crucial Pro 64 GB,3426.8,"5,6000","2,32",2.677,Black,13.333,40.0
Silicon Power XPOWER Turbine 16 GB,679.4,"4,3200","2,8",2.123,Blue,10.0,16.0
G.Skill Trident Z5 Royal Neo RGB 64 GB,5199.8,"5,6000","2,32",4.062,Silver,10.0,30.0
Crucial CT16G48C40U5 16 GB,777.2,"5,4800","1,16",2.429,Black,16.667,40.0
Patriot Viper Steel 64 GB,3299.8,"4,3600","2,32",2.578,Silver / Black,10.0,18.0
G.Skill Trident Z5 Neo RGB 32 GB,2699.8,"5,6400","2,16",4.218,Black,9.375,30.0
Klevv FIT V 32 GB,1699.8,"5,6000","2,16",2.656,White,10.667,32.0
TEAMGROUP T-Create Expert 32 GB,1459.8,"5,6000","2,16",2.281,White,12.667,38.0
G.Skill Trident Z5 Neo RGB 32 GB,,"5,6000","2,16",,Black,8.667,26.0
Kingston FURY Beast RGB 16 GB,1519.6,"5,6000","2,8",4.749,Black,12.0,36.0
Corsair Vengeance 32 GB,2299.79,"5,6400","2,16",3.593,Black,10.0,32.0
Corsair Vengeance RGB 96 GB,6999.8,"5,6000","2,48",3.646,Black / Silver,10.0,30.0
Corsair Vengeance RGB 32 GB,3899.8,"5,8000","2,16",6.093,Black / Gray,9.0,36.0
Corsair Vengeance LPX 32 GB,3219.8,"4,3600","2,16",5.031,Black / Yellow,10.0,18.0
Patriot Viper Xtreme 5 32 GB,2699.8,"5,8200","2,16",4.218,Black,9.268,38.0
TEAMGROUP T-Force Delta RGB 32 GB,2733.8,"4,3600","2,16",4.272,Black,10.0,18.0
G.Skill Ripjaws V 16 GB,919.8,"4,3600","2,8",2.874,Black,10.0,18.0
G.Skill Trident Z Neo 32 GB,1999.8,"4,3600","2,16",3.125,Black / Silver,8.889,16.0
Timetec PINNACLE Konduit 32 GB,1199.8,"4,3200","2,16",1.875,Black,10.0,16.0
Patriot Viper Venom RGB 32 GB,1819.8,"5,6000","2,16",2.843,Black / Silver,10.0,30.0
Kingston FURY Beast 128 GB,8059.8,"5,5600","4,32",3.148,White,14.286,40.0
Corsair Vengeance 48 GB,3599.8,"5,6000","2,24",3.75,Black / Gray,10.0,30.0
Kingston FURY Beast 16 GB,1299.8,"5,5600","2,8",4.062,Black / Silver,12.857,36.0
G.Skill Trident Z5 Royal Neo RGB 96 GB,8999.79,"5,6000","2,48",4.687,Silver,9.333,28.0
TEAMGROUP T-Force Delta RGB 32 GB,2159.79,"5,6400","2,16",3.375,Black,10.0,32.0
G.Skill Ripjaws S5 96 GB,5699.8,"5,6400","2,48",2.969,Black,10.0,32.0
TEAMGROUP T-Force Delta RGB 32 GB,1498.8,"4,3200","2,16",2.342,Black,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,1919.6,"5,6000","2,16",2.999,Black,12.0,36.0
Silicon Power SP016GBLFU320B22 16 GB,799.4,"4,3200","2,8",2.498,,13.75,22.0
G.Skill Trident Z5 Neo RGB 32 GB,2699.8,"5,6400","2,16",4.218,White,9.375,30.0
G.Skill Ripjaws S5 32 GB,1999.8,"5,5600","2,16",3.125,Black,10.0,28.0
Corsair Vengeance LPX 64 GB,2579.8,"4,3600","2,32",2.015,Black,10.0,18.0
Patriot Viper Venom 32 GB,2299.79,"5,7000","2,16",3.593,Black / White,9.143,32.0
TEAMGROUP T-Force Delta RGB 32 GB,2159.79,"5,6400","2,16",3.375,White,10.0,32.0
G.Skill Aegis 32 GB,1399.6,"4,3200","2,16",2.187,Red / Black,10.0,16.0
TEAMGROUP T-Create Expert 32 GB,1799.8,"5,6400","2,16",2.812,Black,10.0,32.0
Kingston FURY Beast RGB 64 GB,4799.8,"5,6000","2,32",3.75,White,10.0,30.0
G.Skill Trident Z5 Neo RGB 96 GB,,"5,6000","2,48",,Black,8.667,26.0
Lexar THOR OC 32 GB,2099.79,"5,6000","2,16",3.281,Black / Gold,10.667,32.0
Silicon Power XPOWER Zenith RGB Gaming 64 GB,3399.8,"5,6000","2,32",2.656,White,10.0,30.0
Corsair Vengeance 64 GB,4399.8,"5,6000","2,32",3.437,Black / Gray,10.0,30.0
TEAMGROUP T-Create Expert 64 GB,3539.8,"5,6000","2,32",2.765,Black,11.333,34.0
Corsair Vengeance RGB 32 GB,2899.8,"5,6000","2,16",4.531,Black / Gray,10.0,30.0
Kingston FURY Beast 128 GB,6799.8,"5,5600","2,64",2.656,Black,12.857,36.0
Patriot Viper Venom 16 GB,999.8,"5,6400","2,8",3.124,Black / Red,10.0,32.0
Timetec PINNACLE Konduit 16 GB,639.79,"4,3200","2,8",1.999,White,10.0,16.0
