name,price,type,efficiency,wattage,modular,color
Super Flower Zillion FG,2799.8,ATX,gold,1050,Full,Black
NZXT E850,2698.8,ATX,gold,850,Full,Black
Cooler Master XG850 Plus,2919.8,ATX,platinum,850,Full,Black
SHARKOON SilentStorm Cool Zero 650,3392.8,ATX,gold,650,Full,Black
Gigabyte AORUS P GM,3606.2,ATX,gold,750,Full,Black / Silver
Cooler Master MWE Gold V2 ATX3.0,6260.0,ATX,gold,1250,Full,Black
EVGA 500 BA,2199.79,ATX,bronze,500,false,Black
SeaSonic VERTEX PX-750,6489.2,ATX,platinum,750,Full,Black / Silver
FSP Group Hydro PTM PRO,2799.8,ATX,platinum,850,Full,Black
Silverstone Strider Platinum S,4304.2,ATX,platinum,1000,Full,Black
SeaSonic FOCUS GX,9737.4,ATX,gold,1000,Full,Black
RAIJINTEK AMPERE,3258.0,ATX,platinum,1200,Full,Black
NZXT C (2019),4300.2,ATX,gold,850,Full,Black
SeaSonic SSP-300SUG,2380.0,Flex ATX,gold,300,false,Silver
Razer Katana Chroma,7799.8,ATX,platinum,1200,Full,Black
RAIJINTEK AMPERE,2798.0,ATX,platinum,1000,Full,Black
Silverstone Essential,1839.6,ATX,gold,550,Semi,Black
