name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Gigabyte B550M AORUS ELITE,2680.0,AM4,Micro ATX,128,4,Black / Orange,True,Gigabyte
ASRock Phantom Gaming X870 Riptide WiFi,4999.8,AM5,ATX,256,4,Black / Purple,True,ASRock
Asus PRIME B650M-A WIFI II,4741.39,AM5,Micro ATX,192,4,Black / Silver,True,ASUS
MSI MPG B850 EDGE TI WIFI,6199.8,AM5,ATX,256,4,Silver / White,True,MSI
MSI PRO B760M-A WIFI DDR4,3099.8,LGA1700,Micro ATX,128,4,Black,True,MSI
Gigabyte B550M GAMING X WIFI6,3099.8,AM4,Micro ATX,128,4,Gray / Black,True,Gigabyte
MSI B650M PROJECT ZERO,4599.8,AM5,Micro ATX,256,4,Silver / Black,True,MSI
Gigabyte B650M GAMING WIFI,,AM5,Micro ATX,96,2,Black / Silver,False,Gigabyte
ASRock H81 Pro BTC,899.59,LGA1150,ATX,16,2,Black / Silver,True,ASRock
Gigabyte B760 GAMING X AX,4798.8,LGA1700,ATX,192,4,Black / Gray,True,Gigabyte
Asus ROG STRIX B450-F GAMING,2599.8,AM4,ATX,128,4,Black,True,ASUS
MSI PRO-H610M-E-DDR4,,LGA1700,Micro ATX,64,2,Black,False,MSI
Asus B760M-AYW WIFI D4 II,1999.8,LGA1700,Micro ATX,64,2,Black / Silver,True,ASUS
ASRock X870E Taichi Lite,5999.8,AM5,EATX,256,4,Black / Silver,True,ASRock
MSI MPG Z790 CARBON MAX WIFI II,9399.79,LGA1700,ATX,256,4,Black,True,MSI
Asus PRIME B760-PLUS,,LGA1700,ATX,192,4,Black / Silver,False,ASUS
Asus PRIME A320M-K,,AM4,Micro ATX,32,2,Black / White,False,ASUS
NZXT N9 X870E,9199.79,AM5,ATX,192,4,Black,True,NZXT
Asus ROG CROSSHAIR X870E APEX,14999.8,AM5,ATX,128,2,Black,True,ASUS
Asus ROG STRIX Z890-E GAMING WIFI,8480.0,LGA1851,ATX,192,4,Black,True,ASUS
Asus TUF GAMING X670E-PLUS WIFI,4719.8,AM5,ATX,192,4,Black / Orange,True,ASUS
Gigabyte B650I AX,4475.0,AM5,Mini ITX,96,2,Black,True,Gigabyte
Asus ROG STRIX Z790-E GAMING WIFI,7999.8,LGA1700,ATX,192,4,Black,True,ASUS
Gigabyte B650 GAMING X AX,3332.6,AM5,ATX,192,4,Black / Gray,True,Gigabyte
ASRock B660M-HDV,2150.2,LGA1700,Micro ATX,64,2,Gray / Black,True,ASRock
Gigabyte X670 AORUS ELITE AX,4799.8,AM5,ATX,192,4,Black,True,Gigabyte
MSI PRO B850M-P WIFI,3599.8,AM5,Micro ATX,256,4,Black / Silver,True,MSI
Gigabyte B450M K,1999.0,AM4,Micro ATX,64,2,Brown / Silver,True,Gigabyte
ASRock G41M-S,1154.0,LGA775,Micro ATX,8,2,Blue / White,True,ASRock
Gigabyte X870E AORUS ELITE WIFI7 ICE,6599.8,AM5,ATX,256,4,White,True,Gigabyte
Gigabyte X870E AORUS XTREME AI TOP,15999.8,AM5,EATX,256,4,Black,True,Gigabyte
MSI B650M GAMING WIFI,,AM5,Micro ATX,96,2,Silver / Black,False,MSI
ASRock B860I WiFi,3199.8,LGA1851,Mini ITX,128,2,Black,True,ASRock
Asus TUF GAMING B650-PLUS,3199.8,AM5,ATX,128,4,Black / Orange,True,ASUS
Gigabyte GA-B250M-DS3H,4068.8,LGA1151,Micro ATX,64,4,Black / Gold,True,Gigabyte
Gigabyte B650M S2H,2949.4,AM5,Micro ATX,96,2,Black / Gray,True,Gigabyte
MSI B550M PRO-VDH,3061.8,AM4,Micro ATX,128,4,Black,True,MSI
ASRock B450M Steel Legend,1853.4,AM4,Micro ATX,64,4,Black / White,True,ASRock
MSI MAG Z790 TOMAHAWK MAX WIFI,4968.6,LGA1700,ATX,192,4,Black / Yellow,True,MSI
ASRock B850 Pro-A WiFi,3559.8,AM5,ATX,256,4,Black / Silver,True,ASRock
NZXT N9 X870E,9199.79,AM5,ATX,192,4,White,True,NZXT
ASRock B850M Pro RS,2999.8,AM5,Micro ATX,256,4,Silver / Black,True,ASRock
Asus B650E MAX GAMING WIFI,3399.8,AM5,ATX,192,4,Black / Silver,True,ASUS
MSI Z390-A PRO,4739.8,LGA1151,ATX,128,4,Brown / Black,True,MSI
Asus TUF GAMING B850-BTF WIFI W,5599.8,AM5,ATX,256,4,White / Silver,True,ASUS
ASRock H610M-HDV/M.2+ D5,1791.4,LGA1700,Micro ATX,96,2,White / Black,True,ASRock
ASRock B760M Pro RS WiFi White,,LGA1700,Micro ATX,192,4,White,False,ASRock
MSI PRO B650M-B,3097.2,AM5,Micro ATX,96,2,Black,True,MSI
MSI B450M PRO-VDH MAX,2200.0,AM4,Micro ATX,64,4,Black / Silver,True,MSI
Asus PRIME B650-PLUS,3480.4,AM5,ATX,192,4,Black / Silver,True,ASUS
Asus PRIME Z790-P WIFI,4999.8,LGA1700,ATX,192,4,Black / Silver,True,ASUS
Gigabyte Z890 AORUS ELITE WIFI7,4908.0,LGA1851,ATX,256,4,Black,True,Gigabyte
Gigabyte B450M DS3H WIFI,,AM4,Micro ATX,128,4,Brown / Black,False,Gigabyte
Asus TUF GAMING Z890-PLUS WIFI,5200.0,LGA1851,ATX,192,4,Black,True,ASUS
ASRock B850M-X,2239.6,AM5,Micro ATX,128,2,Black / White,True,ASRock
Asus TUF GAMING Z790-PRO WIFI,,LGA1700,ATX,192,4,Black,False,ASUS
Asus ROG STRIX B650E-E GAMING WIFI,8094.6,AM5,ATX,192,4,Black,True,ASUS
Gigabyte B850M DS3H,3099.8,AM5,Micro ATX,256,4,Gray / Black,True,Gigabyte
