name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
Cooler Master Hyper 212 LED Turbo (Black),,600.0,1600.0,9.0,31.0,,,Air,False,Cooler Master
In Win SR36,2600.0,500.0,2500.0,23.0,23.0,Black,360.0,AIO,True,In Win
Xigmatek D982,,1500.0,2500.0,22.0,22.0,,,Air,False,Xigmatek
Noctua NH-U12S TR4-SP3,1999.0,300.0,1500.0,18.6,22.4,,,Air,True,Noctua
EVGA ACX,,2800.0,2800.0,42.5,42.5,,,Air,False,EVGA
Phanteks GLACIER ONE 420D30,3399.8,250.0,1800.0,29.5,29.5,White,420.0,AIO,True,Phanteks
CRYORIG H7 Quad Lumi,,330.0,1600.0,10.0,25.0,,,Air,False,CRYORIG
ARCTIC Alpine 12 LP,,100.0,2000.0,,,Black / White,,Air,False,ARCTIC
Alpenföhn Glacier Water 240,,500.0,1600.0,23.5,23.5,Black,240.0,AIO,False,Alpenföhn
Silverstone Tundra TD02-SLIM,,800.0,2200.0,16.5,27.4,,240.0,AIO,False,SilverStone
Deepcool GAMMAXX L240 A-RGB,,500.0,1800.0,30.0,30.0,White,240.0,AIO,False,DeepCool
Ocypus Iota L36,1999.8,500.0,2000.0,29.0,29.0,White,360.0,AIO,True,Ocypus
Silverstone NovaPeak 360,2367.0,600.0,2200.0,35.1,35.1,Black,360.0,AIO,True,SilverStone
Xilence LQ360,2835.8,700.0,1600.0,18.0,35.2,Red / Black,360.0,AIO,True,Xilence
Deepcool GAMMAXX 400 V2,,500.0,1650.0,,,Black / Red,,Air,False,DeepCool
ID-COOLING FROZN A620 ARGB WHITE,1199.8,500.0,2000.0,29.9,29.9,White,,Air,True,ID-COOLING
ID-COOLING FROZN A410 ARGB,699.8,500.0,2000.0,29.9,29.9,Black,,Air,True,ID-COOLING
Cooler Master MasterLiquid 360L Core ARGB,1499.6,350.0,1750.0,27.2,27.2,Black,360.0,AIO,True,Cooler Master
MSI MAG CORELIQUID P240,,500.0,2000.0,14.3,34.3,Black,240.0,AIO,False,MSI
Cooler Master MASTERLIQUID ML240L RGB V2,1732.4,650.0,1800.0,6.0,27.0,Black,240.0,AIO,True,Cooler Master
Thermaltake TH240 V2 ARGB Sync,1599.6,500.0,2000.0,25.8,25.8,Black,240.0,AIO,True,Thermaltake
MSI MAG CORELIQUID 240R V2,2199.79,500.0,2000.0,14.3,34.3,Black,240.0,AIO,True,MSI
Noua Siberus Pro 240,,800.0,1800.0,32.0,32.0,Black,240.0,AIO,False,Noua
Evercool NI2011E-9525EP,,1000.0,3000.0,28.0,28.0,,,Air,False,Evercool
Antec Mercury 120,,900.0,1800.0,30.0,30.0,Black / White,120.0,AIO,False,Antec
Thermalright TS-140,,900.0,1300.0,17.0,21.0,,,Air,False,Thermalright
Thermalright TA120 EX,,1850.0,1850.0,29.6,29.6,Silver / Gray,,Air,False,Thermalright
Titan DC-155A915Z/RPW,,1000.0,2600.0,24.8,33.4,,,Air,False,Titan
Scythe SCIOR-1000,,300.0,1800.0,4.5,26.7,Black / Silver,,Air,False,Scythe
Thermaltake Contac 16,,2400.0,2400.0,30.0,30.0,,,Air,False,Thermaltake
Thermalright Peerless Assassin 120 SE V2,738.0,1850.0,1850.0,29.5,29.5,Black / Silver,,Air,True,Thermalright
Enermax ETS-T40-VD,,800.0,1800.0,16.0,21.0,,,Air,False,Enermax
Enermax Liqfusion 360,,500.0,2000.0,14.0,28.0,Black,360.0,AIO,False,Enermax
Thermalright AQUA ELITE ARGB V4,909.8,1550.0,1550.0,25.6,25.6,Black,240.0,AIO,True,Thermalright
be quiet! Pure Rock 2 FX,1954.19,,,7.9,24.4,Black,,Air,True,be quiet!
Silverstone HE02,,,,,,,,Air,False,SilverStone
Akasa Vegas Chroma AM,664.2,500.0,1800.0,32.5,32.5,Black,,Air,True,Akasa
EK EK-Nucleus AIO CR360 Lux D-RGB,3000.0,550.0,2300.0,36.0,36.0,White,360.0,AIO,True,EK
Thermaltake Water 3.0 Performer,,1000.0,2000.0,20.0,20.0,,120.0,AIO,False,Thermaltake
Jonsbo CR-1400 EVO Color White,570.0,800.0,2200.0,22.3,33.8,White,,Air,True,Jonsbo
ID-COOLING FROZN A400 BLACK,499.79,500.0,2200.0,25.8,25.8,Black,,Air,True,ID-COOLING
EVGA CLC 360,,500.0,2400.0,16.0,39.9,Black,360.0,AIO,False,EVGA
Enermax ETS-N31-02,,800.0,2000.0,24.5,24.5,Black / Silver,,Air,False,Enermax
Thermalright Burst Assassin 120 SE,433.8,1550.0,1550.0,25.6,25.6,Black / Silver,,Air,True,Thermalright
iBuypower AW4,1999.8,700.0,2000.0,38.0,38.0,Black,360.0,AIO,True,Desconocida
Corsair H55,,1700.0,1700.0,30.32,30.32,,120.0,AIO,False,Corsair
be quiet! Pure Rock 2,859.8,1500.0,1500.0,19.1,26.8,Silver / Black,,Air,True,be quiet!
Scythe Mugen 5 Black Edition Rev.C,,300.0,1500.0,4.0,28.6,Black,,Air,False,Scythe
Rosewill PB120-RGB,,800.0,1800.0,27.8,27.8,Black,120.0,AIO,False,Rosewill
Cooler Master MasterLiquid 240 Core II,1338.4,600.0,1750.0,30.0,30.0,White,240.0,AIO,True,Cooler Master
Noctua NH-D15S chromax.black,2598.8,300.0,1500.0,19.2,24.6,Black,,Air,True,Noctua
Thermalright Silver Arrow 130,3587.8,600.0,1500.0,19.0,23.0,Silver,,Air,True,Thermalright
