name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Caviar Green,1099.8,1000.0,0.055,5400,64.0,3.5,SATA 6.0 Gb/s
Samsung 960 Evo,4122.2,1000.0,0.206,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK,6011.2,10000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,1850.0,2000.0,0.046,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate ST1000LM035,880.0,1000.0,0.044,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,2540.0,4000.0,0.032,5400,128.0,2.5,SATA 6.0 Gb/s
Toshiba MK3276GSX,279.6,320.0,0.044,5400,8.0,2.5,SATA 3.0 Gb/s
Seagate IronWolf NAS,2999.8,6000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,11599.8,20000.0,0.029,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,4999.8,10000.0,0.025,7200,512.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M570 FROZR,4799.8,2000.0,0.12,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD Red Pro,5384.6,12000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro Compute,1295.8,1000.0,0.065,7200,128.0,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,4322.6,1000.0,0.216,SSD,1024.0,M.2-2280,M.2 SATA
Western Digital SE,849.59,2000.0,0.021,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,3999.8,8000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,2599.8,4000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red,2838.8,4000.0,0.035,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,6209.8,16000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,2059.79,2000.0,0.051,5400,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K6000,1512.6,4000.0,0.019,7200,128.0,3.5,SATA 6.0 Gb/s
