name,price,capacity,type,cache,form_factor,interface,brand
Western Digital Blue,2199.79,2000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
HP EX920,2226.39,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,HP
Samsung 960 Pro,7999.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Western Digital Gold,6999.8,16000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Exos X24,6589.0,16000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Exos X24,10199.79,24000.0,7200,512.0,3.5,SAS 12.0 Gb/s,Seagate
Western Digital WD Red Pro,3999.8,6000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate BarraCuda Pro,6489.0,12000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Constellation ES.3,960.0,1000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Blue Mobile,570.0,500.0,5400,16.0,2.5,SATA 6.0 Gb/s,Western Digital
Seagate Barracuda Compute,1139.8,1000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Seagate
Toshiba MG08ADA800E,4973.2,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Toshiba
Toshiba MG03SCA,600.0,1000.0,7200,64.0,3.5,SAS 6.0 Gb/s,Toshiba
Western Digital Blue Mobile,990.0,1000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue,699.8,500.0,7200,32.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate BarraCuda Pro,5759.8,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Purple Surveillance,2556.6,6000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Constellation ES.2,940.0,3000.0,7200,64.0,3.5,SAS 6.0 Gb/s,Seagate
Western Digital WD_BLACK,2999.8,6000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf Pro NAS,3840.0,6000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Caviar Blue,460.0,500.0,5400,8.0,2.5,SATA 6.0 Gb/s,Western Digital
Western Digital Red,5980.0,12000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Momentus 5400.6,573.8,500.0,5400,8.0,2.5,SATA 3.0 Gb/s,Seagate
Western Digital WD_BLACK,939.8,500.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate ST6000NM0024,2960.0,6000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf Pro,4589.0,6000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Exos X16,5900.0,14000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Blue,709.59,500.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
